gender,age,marital_status,education,applicant_income,coapplicant_income,dependents,employment_type,area_type,loan_amount,loan_term_months,loan_purpose,electricity_bill_avg,electricity_payment_regularity,mobile_recharge_avg,mobile_recharge_frequency,utility_payment_consistency,govt_socioeconomic_category,credit_category,prior_repayment_record,loan_repaid
Male,24,Single,No formal education,10565.98791313422,0.0,3,Farmer,Rural,101276.1854238133,48,Education,444.74115788895176,,183.2053818006358,4.4607232426760905,,BPL,None,0.82,0
Female,30,Married,Secondary,26617.579358479055,11429.322155855816,3,Self-employed,Urban,256097.3502853741,120,Education,1478.5722839230348,1.0,540.9200012290796,1.5879485872574355,,,None,,0
Female,29,Single,Graduate,12938.094783539369,0.0,1,Farmer,Rural,343863.3222170962,48,Education,466.3689426469987,0.8,202.56697894378556,,1.0,BPL,Strong,,0
Male,21,Married,Secondary,14232.463357752215,8111.373282805679,3,Farmer,Semi-urban,384442.9732003593,24,Marriage,690.5717410873749,1.0,236.88194491915908,,0.5,APL,None,,0
Male,39,Married,Secondary,19844.366812060733,0.0,2,Salaried,Urban,225191.59939403797,48,Medical,840.5529164993883,0.2,419.7581186771718,1.8003430428258551,0.2,APL,None,0.95,0
Male,22,Married,Secondary,4721.270737162423,1772.1703860992134,4,Self-employed,Rural,107544.59061697093,120,Business,535.0840423629312,0.5,50.0,6.67608059620386,1.0,BPL,None,0.82,0
Female,36,Married,Secondary,5732.681596157202,4158.8554077952185,7,Daily wage,Rural,72427.25253898157,24,Medical,271.5290836885315,1.0,95.48746660984888,6.720852615282811,0.8,BPL,Weak,,0
Female,18,Married,Secondary,5959.622850492977,4078.0328878968858,0,Salaried,Rural,177976.76300539728,84,Marriage,581.2287388095813,1.0,144.52122209348613,5.763824834177449,1.0,BPL,None,0.95,0
Female,24,Married,Primary,23631.78647415995,13621.59776871684,2,Daily wage,Semi-urban,479437.9684007734,48,Education,228.37636679997107,1.0,497.3855121927838,3.253842655196985,0.5,BPL,Weak,,0
Female,42,Married,Graduate,4491.898589913849,1784.1372772786426,2,Daily wage,Urban,37366.46732433711,24,Home repair,203.15603446346722,,65.52710751062078,3.232127928997346,1.0,,None,,0
Male,41,Married,Secondary,49267.07853616208,0.0,1,Salaried,Rural,359402.1873052392,120,Agriculture,385.86952517584456,1.0,1040.181383445312,3.2402946209851686,0.5,BPL,None,0.95,0
Female,42,Married,Secondary,46032.083878577,28216.27886209531,3,Salaried,Semi-urban,477110.028339032,84,Education,462.28905415229684,1.0,,6.408068344863949,1.0,BPL,None,,0
Male,58,Married,Secondary,7530.060284643626,4374.463117281046,3,Self-employed,Urban,108758.33352718789,12,Medical,67.50322451278186,1.0,,,0.2,APL,Strong,0.95,0
Female,33,Widowed,Post-graduate,15072.706407454,0.0,7,Salaried,Rural,224828.86059483862,36,Education,432.5221668907129,0.5,305.40457886128286,7.401799843192084,1.0,BPL,None,0.95,0
Male,31,Married,Secondary,3000.0,1256.2597069387048,2,Daily wage,Rural,54627.75909729069,60,Medical,159.12156798511901,1.0,79.45897880722697,1.1302023498945184,0.5,APL,Moderate,0.95,0
Male,42,Divorced,No formal education,29878.784348625966,0.0,2,Salaried,Semi-urban,348041.46949631907,60,Agriculture,1394.9605319182422,1.0,595.1017093333594,2.2336201626165586,,APL,None,,0
Female,23,Married,Graduate,11797.825836753378,5857.558288393142,2,Daily wage,Semi-urban,69849.5787176022,120,Agriculture,413.73851001178525,0.5,211.7377321366024,7.5658287612882145,1.0,BPL,None,0.82,1
Female,37,Married,Graduate,7670.973909131379,0.0,4,Daily wage,Semi-urban,160967.97674206307,36,Business,424.1714050458702,0.5,155.89811464759782,2.9099329648668477,1.0,,Moderate,,0
Female,52,Married,No formal education,29259.409055847605,0.0,3,Farmer,Urban,574044.8126782732,36,Medical,1575.0155949865243,1.0,,3.6229528145632512,1.0,APL,None,0.82,0
Male,23,Single,Secondary,3000.0,0.0,0,Self-employed,Rural,80122.58302766901,12,Business,393.8091940764085,0.5,50.0,,1.0,BPL,None,0.95,0
Male,28,Married,No formal education,13071.92490404928,0.0,5,Salaried,Semi-urban,240885.0340233879,24,Agriculture,348.9809974263934,0.2,204.64522320562324,2.8226656668807184,,APL,Good,0.95,1
Female,40,Widowed,No formal education,15674.67920768295,10333.197384700068,3,Self-employed,Rural,457698.3077232744,48,Business,482.8920382577778,0.5,398.9433673131007,3.436450897948377,1.0,BPL,Weak,0.95,0
Male,37,Married,Graduate,9502.8441521624,0.0,3,Daily wage,Urban,267611.83294165484,84,Home repair,542.6627400231605,1.0,169.46303473712464,1.4909678285971135,1.0,,Weak,0.82,0
Male,50,Married,Primary,3988.120176156731,2441.204125961137,2,Self-employed,Rural,53331.69685383607,48,Marriage,599.0770463695374,0.5,,6.534902306217296,0.8,BPL,None,,0
Male,38,Married,Secondary,66748.87507094805,38898.18553480416,5,Farmer,Semi-urban,1040609.7266084999,24,Medical,3283.6769181883674,1.0,,,,APL,None,0.82,0
Female,30,Single,Graduate,12129.743542399874,5939.363485513755,3,Self-employed,Semi-urban,95299.54383594805,48,Agriculture,593.3917063685017,1.0,,3.7553641748179034,1.0,,Good,,1
Male,29,Married,Post-graduate,10706.825484224291,0.0,1,Self-employed,Semi-urban,136495.14193799417,84,Business,512.3724703146099,1.0,221.88834086426178,1.1096490035442845,1.0,APL,Good,0.95,0
Male,21,Married,Secondary,28574.832090480057,8959.581345199991,1,Salaried,Urban,622854.7187310411,60,Medical,1621.2997425941417,,580.1245632913191,3.1624392889315196,,APL,Good,0.82,0
Female,46,Single,Graduate,23431.517659490106,10964.378679360103,2,Farmer,Semi-urban,603744.9817854178,60,Medical,1361.5190990936928,1.0,450.5809792270072,3.92364179559661,0.8,,Weak,,0
Female,21,Married,Secondary,14192.549511129662,10095.046046305582,3,Daily wage,Urban,214750.33639623842,84,Education,529.8674939079904,0.5,238.36929534809462,1.7521919816847933,0.8,,Good,0.95,0
Male,35,Widowed,Secondary,21478.066036212458,7893.202986576597,2,Daily wage,Semi-urban,194383.94938452018,48,Business,,,544.4847638109909,,,,None,0.95,1
Male,45,Married,No formal education,16702.263798935048,11057.761551284058,5,Farmer,Rural,363239.77440538706,24,Agriculture,213.57839143431954,0.5,340.73765869100095,,0.5,BPL,None,0.62,0
Male,25,Married,No formal education,37156.81309917991,0.0,3,Self-employed,Semi-urban,208450.44749015453,24,Education,575.6270794051585,0.8,796.4102807368658,7.989670552666688,1.0,BPL,None,0.95,1
Female,32,Married,Primary,40184.53896670778,0.0,4,Salaried,Urban,1155266.5001662313,60,Marriage,577.892808916564,1.0,792.9913371228802,6.067056946053539,1.0,BPL,Good,0.95,0
Male,30,Single,Post-graduate,3688.777086927042,1390.4769726172763,2,Daily wage,Rural,67963.3591205126,12,Home repair,,0.2,50.0,7.443740399344886,0.2,BPL,Moderate,0.62,0
Male,33,Single,Primary,12341.65931825824,8791.463559327634,3,Salaried,Rural,332802.09555132233,36,Home repair,854.7616206025289,,287.857295425033,,0.8,APL,None,0.82,0
Female,44,Single,Graduate,9628.738323679614,0.0,3,Self-employed,Rural,231337.1548736678,24,Agriculture,,1.0,222.96959195941926,1.3075291839720378,,,None,0.95,0
Female,40,Divorced,Post-graduate,34610.85197444274,0.0,3,Salaried,Rural,314633.2562411524,120,Marriage,1717.3925465075395,1.0,704.4070751774148,2.9635336428434056,1.0,APL,None,0.95,0
Male,31,Married,Primary,19810.200282614576,0.0,5,Salaried,Urban,475951.9434244596,36,Marriage,213.01047179650078,0.2,,5.4076117575627505,1.0,BPL,Moderate,,0
Female,43,Married,Secondary,35894.67320924565,0.0,3,Salaried,Urban,610664.3622110285,12,Agriculture,,1.0,644.2680452828625,4.730082838224198,0.8,BPL,Weak,0.95,0
Male,36,Married,Graduate,36306.16933545225,16316.643947071914,7,Farmer,Urban,723832.3427412678,84,Education,1991.3677166232624,1.0,715.0277640693673,3.174479679622175,,APL,Moderate,0.95,0
Male,23,Single,Secondary,9178.031391167899,0.0,2,Self-employed,Semi-urban,85858.95473702667,60,Education,456.191659948903,1.0,122.27234467324092,3.9629486912081733,1.0,,None,0.95,0
Female,20,Widowed,Primary,10961.172776265104,4273.120633531119,2,Farmer,Semi-urban,288932.42952855927,60,Agriculture,627.2193455007371,0.5,257.8083910577193,2.077700108199297,,APL,None,,0
Female,18,Married,Primary,8998.615074841742,0.0,3,Salaried,Urban,82701.59553733905,12,Business,,0.5,240.69776576210228,,,,None,0.95,0
Male,36,Widowed,Primary,28539.763272211057,0.0,3,Salaried,Semi-urban,164084.79534566958,60,Home repair,1517.4951419748197,1.0,584.6237230739675,2.3312506579137136,0.5,,Moderate,,0
Female,30,Single,Graduate,13173.65924860946,4654.207904359923,2,Farmer,Rural,387692.2894797863,12,Agriculture,430.0819798843763,0.5,344.15874842512153,3.635546683904044,,APL,Moderate,,0
Male,43,Single,Primary,8859.697085354144,0.0,2,Self-employed,Semi-urban,177957.779025322,84,Medical,753.4972173656356,1.0,226.2822160566626,2.557245355408654,1.0,APL,None,,0
Female,34,Married,Post-graduate,40949.10165453898,0.0,2,Salaried,Urban,702145.8097224582,60,Home repair,2125.871988667123,,941.7708430689074,1.2688790174648263,0.8,APL,Strong,,0
Male,49,Married,Primary,11807.16853002508,0.0,5,Self-employed,Rural,165528.39100363903,24,Agriculture,512.2102060975448,1.0,221.3958866859002,,,BPL,Weak,0.95,0
Female,52,Married,Secondary,30301.01984269259,0.0,4,Self-employed,Urban,902406.7875724122,48,Medical,489.73552685149645,,587.0640098044775,,0.5,BPL,None,,0
Male,35,Married,Graduate,3000.0,1892.7587847740679,3,Self-employed,Rural,57172.26119084323,48,Marriage,476.0019563282663,1.0,50.0,5.251854681290926,0.8,BPL,Moderate,,0
Female,38,Married,Graduate,19694.622624871416,13609.260821820479,1,Farmer,Semi-urban,247723.07755538067,24,Marriage,922.9078384030706,1.0,398.25177270774986,1.9165729319740707,1.0,APL,Weak,0.82,0
Male,46,Married,Primary,7540.496179016618,0.0,1,Daily wage,Rural,168709.38165689434,24,Medical,496.94363160712965,0.5,,3.5860434468178677,,,Good,0.82,0
Male,40,Single,Post-graduate,3000.0,0.0,1,Daily wage,Semi-urban,31202.86368821997,84,Education,,1.0,,3.9845989515093017,,APL,None,0.35,0
Male,37,Divorced,Graduate,23906.10009664042,0.0,2,Self-employed,Semi-urban,339322.79682190187,48,Medical,,0.8,449.2964818964724,1.05757683046917,1.0,,Weak,0.95,0
Male,18,Single,Secondary,10208.272671201697,0.0,3,Daily wage,Semi-urban,168295.3106007777,60,Education,323.76004174544573,0.2,170.71181649103812,3.0644041182596267,1.0,,Good,,1
Female,50,Married,No formal education,27597.456147677367,0.0,1,Salaried,Semi-urban,187720.88827983258,36,Agriculture,1724.2985285208624,0.8,484.5928084770625,,,,None,0.95,1
Female,26,Married,Graduate,13804.454747229165,8585.709988947207,1,Self-employed,Semi-urban,403258.76132366987,60,Home repair,640.0561340704488,0.2,348.8700294486392,3.244219538288596,0.5,APL,None,0.95,0
Female,59,Single,No formal education,7357.974771122669,5321.708005075129,3,Daily wage,Urban,191674.97659278507,84,Home repair,328.0239330083934,0.5,161.88573254514617,6.6397358836537155,1.0,BPL,Strong,0.95,0
Female,18,Single,Primary,28626.02890695239,20206.429884725963,3,Self-employed,Urban,772771.4485194421,24,Business,1634.8096286689702,,594.1766048729074,3.063652329639745,1.0,APL,Good,0.95,0
Female,52,Married,Secondary,64556.70080733108,0.0,2,Salaried,Semi-urban,610662.1429706237,24,Medical,,1.0,1340.1582661226503,5.550548562494126,,BPL,None,,0
Male,34,Married,No formal education,8870.985840743166,0.0,2,Farmer,Rural,58225.20943509337,48,Business,704.8607843900279,0.5,133.46717255606882,2.9126597934106893,1.0,APL,Moderate,,0
Other,31,Single,Secondary,22889.109105118267,0.0,2,Self-employed,Semi-urban,378661.8642302677,48,Agriculture,1183.9155392544837,,503.24299042502173,1.1495260833488246,0.5,APL,None,0.82,0
Male,55,Married,No formal education,52700.28325559959,0.0,3,Self-employed,Urban,1387453.036172627,36,Home repair,,1.0,988.3177744276902,3.315573178544864,1.0,APL,Moderate,,0
Female,24,Married,Post-graduate,22274.710007884805,17456.202169650285,1,Farmer,Urban,512322.80721046065,120,Education,,1.0,496.09759339288905,,1.0,BPL,Good,0.95,0
Male,18,Married,Primary,13213.970833573854,0.0,5,Salaried,Rural,107777.69925411834,120,Medical,302.19733786224185,0.2,343.40911494555667,5.7899036939132,1.0,BPL,None,,0
Male,42,Married,Primary,95873.28882222854,0.0,3,Salaried,Urban,1552195.593486115,84,Home repair,445.38925545567054,1.0,,3.1669180089319062,1.0,BPL,None,0.62,0
Other,40,Married,No formal education,3915.9882358563505,0.0,0,Self-employed,Rural,100147.33102933076,24,Medical,589.3829559904693,1.0,102.50840176471928,3.5537422265947907,0.8,BPL,Moderate,0.62,0
Male,35,Single,Secondary,5785.7968404796575,0.0,4,Daily wage,Semi-urban,33429.697694685216,60,Education,411.0176079987818,,95.61259958375962,3.51112337572882,1.0,APL,Weak,0.82,1
Female,44,Married,Graduate,10220.439052048154,0.0,4,Self-employed,Rural,300685.40084933594,84,Business,216.8098700685621,0.5,193.31573585119776,7.291708383995604,1.0,BPL,Good,0.82,1
Female,43,Single,Secondary,4893.654742737974,0.0,2,Salaried,Semi-urban,134929.68309908107,24,Agriculture,185.42924843512236,1.0,159.80469725681553,1.8558710150719493,1.0,APL,Good,,0
Male,39,Single,Graduate,8809.72272978976,0.0,2,Daily wage,Urban,217776.84448986547,36,Home repair,418.49859341545135,1.0,212.56044694683095,,,APL,None,,0
Female,29,Widowed,Primary,60876.37885858706,0.0,4,Self-employed,Semi-urban,1572615.0381009197,48,Home repair,2942.4968415894296,1.0,1144.9919812845674,2.1903905412589495,,APL,Good,,0
Female,34,Single,Secondary,33014.069032563646,14165.895527883524,6,Salaried,Rural,757319.7367061239,120,Agriculture,,,646.8548482559813,2.368709526866626,1.0,APL,None,,0
Female,27,Married,Secondary,36224.291189985604,13050.858947601087,1,Farmer,Urban,664686.2862386991,24,Agriculture,,1.0,682.6881198206772,2.1981062451840727,,APL,None,0.95,0
Male,36,Married,Secondary,96992.00158016096,0.0,1,Self-employed,Urban,1382262.9236374951,84,Home repair,4573.894208999399,,1876.4953080270266,2.9372215302868367,1.0,APL,None,0.62,0
Male,38,Married,Secondary,3625.935273607916,1502.019659387396,2,Self-employed,Rural,27131.26036082909,84,Medical,209.66897472189564,1.0,50.0,1.4411855516997651,1.0,,Good,,0
Male,27,Married,Primary,69774.81289888079,0.0,4,Daily wage,Urban,1234048.445799953,120,Home repair,3127.6195503626864,0.8,1333.4154469878144,2.7489532784938073,0.2,APL,Good,,0
Male,39,Married,No formal education,24355.951877311854,0.0,0,Farmer,Rural,575933.039586796,120,Home repair,472.3023571841942,1.0,488.05805276205956,3.468362103529551,0.8,BPL,None,0.95,0
Female,45,Married,Secondary,37211.80653502024,12270.064218017764,0,Farmer,Semi-urban,781632.4255201844,12,Business,1936.958138919209,1.0,780.3709311765357,3.2877891840825257,0.5,APL,Good,,0
Male,27,Married,Post-graduate,17781.68937957244,0.0,0,Daily wage,Urban,505484.9866088213,48,Agriculture,,0.5,317.28106226291493,,1.0,,None,0.95,0
Male,40,Married,No formal education,15307.493077564428,0.0,1,Farmer,Semi-urban,184074.325933062,120,Medical,306.46720500621495,1.0,363.66466286635824,5.744902247208209,1.0,BPL,None,,0
Female,41,Married,Secondary,9779.436941953023,3520.370871026668,3,Self-employed,Semi-urban,264531.8548869918,24,Business,,1.0,230.92961030474717,,0.5,APL,None,0.95,0
Female,49,Married,Graduate,12865.613729783252,0.0,0,Self-employed,Rural,245935.55041753818,48,Business,609.3538626701317,0.5,236.58936950714872,3.6265336796578485,1.0,APL,None,,0
Male,30,Married,Primary,10334.9724834934,0.0,3,Self-employed,Rural,237614.92222523794,12,Agriculture,349.98158748670954,0.5,,3.262069104785147,1.0,APL,Good,,0
Female,44,Single,No formal education,5944.177890014249,2502.1686437356675,4,Daily wage,Rural,139123.5466817031,84,Agriculture,,1.0,149.73506631631977,,1.0,,None,0.95,0
Male,42,Single,Secondary,9153.093763466002,5345.830144915534,6,Self-employed,Semi-urban,112387.23378411807,60,Medical,559.7820850184406,0.5,190.56860696963093,5.367004407474562,1.0,BPL,Strong,0.95,0
Male,45,Married,Secondary,3000.0,0.0,3,Daily wage,Rural,86054.64371898351,84,Medical,,0.5,50.0,7.7896706052838525,1.0,BPL,Weak,,0
Male,36,Single,Primary,19131.15488325678,0.0,6,Salaried,Semi-urban,379543.4291008419,120,Medical,1074.268398116983,0.2,410.0585110643871,3.723696381338858,0.5,APL,Strong,0.95,0
Female,31,Single,Secondary,12997.142361959382,5342.3185618664,3,Self-employed,Rural,204283.24175030633,12,Marriage,464.97360468042723,1.0,222.04323611325395,7.597655123280249,0.2,BPL,Good,,0
Male,19,Married,Primary,6625.150833862029,2324.7776276502836,2,Self-employed,Semi-urban,39091.50677026435,12,Medical,477.4103655064064,1.0,137.79773933300228,2.3098425693062983,1.0,,None,0.82,1
Male,45,Married,Primary,45022.464882285945,0.0,0,Salaried,Semi-urban,1284023.2753151646,60,Agriculture,2166.9708853780867,0.8,,,0.8,APL,Good,0.95,0
